CVEGEO	cases	CVE_ENT	vax_pc	ENTIDAD	MUN	Population	sum_cases_7_days	pop	vax_rate	cases_last_7_days_per_100k	prev_per_100k	prev	m_test	m_v	risk_inf_no_mitig_small	risk_inf_testing_no_vax_small	risk_inf_fully_vax_no_test_small	risk_inf_fully_vax_and_test_small	risk_inf_no_mitig_med	risk_inf_testing_no_vax_med	risk_inf_fully_vax_no_test_med	risk_inf_fully_vax_and_test_med	risk_inf_no_mitig_big	risk_inf_testing_no_vax_big	risk_inf_fully_vax_no_test_big	risk_inf_fully_vax_and_test_big
05027	7	05	75.4798172475849	05	027	122243	7	122243	0.754798172475849	6	57.262992563991396	5.72629925639914e-4	0.21399999999999997	0.7833895172620507	0.6	0.1	0.4	0.1	1.1	0.2	0.9	0.2	1.7	0.4	1.3	0.3
05028	29	05	75.4798172475849	05	028	64811	29	64811	0.754798172475849	45	447.45490734597524	0.004474549073459753	0.21399999999999997	0.7833895172620507	4.4	1	3.5	0.7	8.6	1.9	6.8	1.5	12.6	2.8	10	2.2
05029	1	05	75.4798172475849	05	029	2471	1	2471	0.754798172475849	40	404.6944556859571	0.004046944556859571	0.21399999999999997	0.7833895172620507	4	0.9	3.1	0.7	7.8	1.7	6.2	1.3	11.5	2.6	9.1	2
05030	49	05	75.4798172475849	05	030	879958	49	879958	0.754798172475849	6	55.68447584998375	5.568447584998375e-4	0.21399999999999997	0.7833895172620507	0.6	0.1	0.4	0.1	1.1	0.2	0.9	0.2	1.7	0.4	1.3	0.3
05031	12	05	75.4798172475849	05	031	24759	12	24759	0.754798172475849	48	484.67224039743127	0.004846722403974313	0.21399999999999997	0.7833895172620507	4.7	1	3.7	0.8	9.3	2.1	7.3	1.6	13.6	3.1	10.8	2.4
05032	35	05	75.4798172475849	05	032	42260	35	42260	0.754798172475849	83	828.2063416942735	0.008282063416942735	0.21399999999999997	0.7833895172620507	8	1.8	6.3	1.4	15.3	3.5	12.2	2.7	22.1	5.2	17.7	4.1
05033	28	05	75.4798172475849	05	033	101041	28	101041	0.754798172475849	28	277.115230451005	0.0027711523045100502	0.21399999999999997	0.7833895172620507	2.7	0.6	2.1	0.5	5.4	1.2	4.3	0.9	8	1.8	6.3	1.4
05035	125	05	75.4798172475849	05	035	720848	125	720848	0.754798172475849	17	173.40687634563736	0.0017340687634563737	0.21399999999999997	0.7833895172620507	1.7	0.4	1.4	0.3	3.4	0.7	2.7	0.6	5.1	1.1	4	0.9
05037	2	05	75.4798172475849	05	037	6188	2	6188	0.754798172475849	32	323.2062055591467	0.003232062055591467	0.21399999999999997	0.7833895172620507	3.2	0.7	2.5	0.5	6.3	1.4	4.9	1.1	9.3	2.1	7.3	1.6
05038	1	05	75.4798172475849	05	038	13135	1	13135	0.754798172475849	8	76.13247049866769	7.613247049866769e-4	0.21399999999999997	0.7833895172620507	0.8	0.2	0.6	0.1	1.5	0.3	1.2	0.3	2.3	0.5	1.8	0.4
06002	12	06	88.29340257126489	06	002	157048	12	157048	0.8829340257126489	8	76.40976007335337	7.640976007335337e-4	0.21399999999999997	0.8833839801260701	0.8	0.2	0.7	0.1	1.5	0.3	1.3	0.3	2.3	0.5	2	0.4
06005	2	06	88.29340257126489	06	005	31267	2	31267	0.8829340257126489	6	63.9652029296063	6.39652029296063e-4	0.21399999999999997	0.8833839801260701	0.6	0.1	0.6	0.1	1.3	0.3	1.1	0.2	1.9	0.4	1.7	0.4
06007	4	06	88.29340257126489	06	007	191031	4	191031	0.8829340257126489	2	20.93900989891693	2.093900989891693e-4	0.21399999999999997	0.8833839801260701	0.2	0	0.2	0	0.4	0.1	0.4	0.1	0.6	0.1	0.6	0.1
06009	1	06	88.29340257126489	06	009	116305	1	116305	0.8829340257126489	1	8.598082627574051	8.598082627574051e-5	0.21399999999999997	0.8833839801260701	0.1	0	0.1	0	0.2	0	0.2	0	0.3	0.1	0.2	0
06010	7	06	88.29340257126489	06	010	149762	7	149762	0.8829340257126489	5	46.740828781666906	4.674082878166691e-4	0.21399999999999997	0.8833839801260701	0.5	0.1	0.4	0.1	0.9	0.2	0.8	0.2	1.4	0.3	1.2	0.3
07042	1	07	43.45205154272463	07	042	11377	1	11377	0.43452051542724635	9	87.8966335589347	8.789663355893469e-4	0.21399999999999997	0.6106242432915251	0.9	0.2	0.5	0.1	1.7	0.4	1.1	0.2	2.6	0.6	1.6	0.3
07101	6	07	43.45205154272463	07	101	604147	6	604147	0.43452051542724635	1	9.931357765576921	9.931357765576921e-5	0.21399999999999997	0.6106242432915251	0.1	0	0.1	0	0.2	0	0.1	0	0.3	0.1	0.2	0
08001	1	08	97.34736838729522	08	001	14635	1	14635	0.9734736838729522	7	68.3293474547318	6.832934745473181e-4	0.21399999999999997	0.9709561250368983	0.7	0.1	0.7	0.1	1.4	0.3	1.3	0.3	2	0.4	2	0.4
08002	12	08	97.34736838729522	08	002	26047	12	26047	0.9734736838729522	46	460.7056474833954	0.004607056474833954	0.21399999999999997	0.9709561250368983	4.5	1	4.4	1	8.8	2	8.6	1.9	12.9	2.9	12.6	2.8
